k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales
k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]
k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales
k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2
k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales
k__Bacteria; p__Firmicutes; c__Bacilli;o__
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
k__Bacteria; p__Firmicutes; c__Clostridia;o__
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales
k__Bacteria; p__Firmicutes;c__;o__
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales
k__Bacteria; p__GN02; c__BD1-5; o__
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales
k__Bacteria; p__SR1; c__; o__
k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Sphaerochaetales
k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales
k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales
k__Bacteria; p__TM7; c__TM7-3; o__
k__Bacteria; p__TM7; c__TM7-3; o__CW040
k__Bacteria; p__TM7; c__TM7-3; o__I025
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales
k__Bacteria; p__Tenericutes; c__Mollicutes; o__Mycoplasmatales
k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales
k__Bacteria; p__[Thermi]; c__Deinococci; o__Thermales
k__Bacteria;p__;c__;o__
